start,duration,value
2020-07-17T20:51:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60]","[27.15,14.81,17.48,50.33,37.28,3.64,0,0,6.17,51.88,40.01]"
2020-07-17T21:03:00+02:00,"[60,60,60,60,60]","[6.8,7.92,0,5.5,10.3]"
2020-07-18T09:48:00+02:00,"[60,60]","[7.93,15.29]"
2020-07-18T09:51:00+02:00,[60],[7.52]
2020-07-18T09:53:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60]","[10.25,15.82,48.2,79.86,78.92,86,81.07,81.29,74.84,8.24,0]"
2020-07-18T10:09:00+02:00,[60],[24.24]
2020-07-18T10:11:00+02:00,"[60,60,60]","[31.68,7.33,4.63]"
2020-07-18T10:18:00+02:00,[60],[11.01]
2020-07-18T10:21:00+02:00,"[60,60,60,60,60,60,60,60,60,60]","[3.88,18.49,83.31,41.25,86.55,78.97,78.92,74.97,17.26,0]"
2020-07-18T10:33:00+02:00,[60],[0]
2020-07-18T11:31:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60]","[0,18.91,15.33,19.05,6.27,21.46,5.54,12.5,0,15.39,19.68,4.63,5.75]"
2020-07-18T11:45:00+02:00,"[60,60]","[0,8.78]"
2020-07-18T11:52:00+02:00,"[60,60,60]","[3.95,4.49,12.46]"
2020-07-18T11:57:00+02:00,[60],[10.91]
2020-07-18T12:00:00+02:00,[60],[16.29]
2020-07-18T12:23:00+02:00,[60],[5.45]
2020-07-18T12:45:00+02:00,"[60,60,60]","[6.19,5.43,7.25]"
2020-07-18T12:50:00+02:00,"[60,60]","[7.88,9.2]"
2020-07-18T12:55:00+02:00,"[60,60]","[11.53,12.26]"
2020-07-18T12:58:00+02:00,[60],[11.09]
2020-07-18T13:00:00+02:00,[60],[26.14]
2020-07-18T13:02:00+02:00,[13080],[4.63]
2020-07-18T14:18:00+02:00,"[60,60]","[0,0]"
2020-07-18T14:22:00+02:00,[60],[4.78]
2020-07-18T14:31:00+02:00,"[60,60,60]","[11.37,12.78,22.33]"
2020-07-18T14:34:00+02:00,[7560],[4.63]
2020-07-18T15:15:00+02:00,"[60,60,4980]","[20.96,0,4.63]"
2020-07-18T15:59:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60]","[8.24,6.79,15.04,9.42,27.97,0,39.63,22.81,33.43,56.11,13.23,0,11.69]"
2020-07-18T16:15:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[23.65,16.44,33.15,98.32,49.2,112.53,72.06,54.08,54.45,31.67,30.06,66.86,44.44,52.72,49.4,43.2,66.43,23.12,0,0,52.76,29.5,44.52,66.89,65.15,38.45,33.85,25.23,22.63,0,0,3.92,12.65,1.59]"
2020-07-18T16:50:00+02:00,[60],[20.03]
2020-07-18T16:52:00+02:00,[60],[7.19]
2020-07-18T16:56:00+02:00,[60],[5.84]
2020-07-18T17:06:00+02:00,"[60,60,60]","[5.71,8.24,8.44]"
2020-07-18T17:11:00+02:00,[60],[5.02]
2020-07-18T17:19:00+02:00,[60],[0]
2020-07-18T17:21:00+02:00,"[60,60]","[25.32,23.17]"
2020-07-18T17:47:00+02:00,[60],[4.85]
2020-07-18T17:52:00+02:00,[60],[13.55]
2020-07-18T17:59:00+02:00,"[60,60,60,60,60]","[14.27,22.71,14.81,39.33,7.4]"
2020-07-18T18:05:00+02:00,"[60,60,60,60,60,60,60,60]","[26.81,25.72,12.74,3.38,15.58,33.33,12.51,10.93]"
2020-07-18T18:14:00+02:00,"[60,60,60,60]","[26.72,0,10.71,38.67]"
2020-07-18T18:24:00+02:00,[60],[6.79]
2020-07-18T18:33:00+02:00,[60],[4.34]
2020-07-18T18:35:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[0,15.45,8.88,8.44,0,0,45.04,27.62,48.88,0,0,4.98,19.78,42.36,12.38,46.58,34.32,0,16.56,19.9,31.49,26.13,9.64]"
2020-07-18T19:02:00+02:00,"[60,60]","[3.73,4.14]"
2020-07-18T19:09:00+02:00,[60],[5.62]
2020-07-18T19:15:00+02:00,[60],[5.07]
2020-07-18T19:21:00+02:00,"[60,60,60]","[8.2,23.2,8.34]"
2020-07-18T19:25:00+02:00,"[60,60]","[0,3.59]"
2020-07-18T19:28:00+02:00,[60],[6.51]
2020-07-18T19:30:00+02:00,"[60,60]","[5.16,5.62]"
2020-07-18T19:33:00+02:00,[60],[4.26]
2020-07-18T19:35:00+02:00,"[60,60]","[0,12.83]"
2020-07-18T19:38:00+02:00,[60],[8.02]
2020-07-18T19:45:00+02:00,"[60,60]","[9.24,0]"
2020-07-18T19:54:00+02:00,"[60,60,60,60]","[8.83,6.95,11.13,8.45]"
2020-07-18T20:01:00+02:00,[60],[5.45]
2020-07-18T20:12:00+02:00,[60],[4.85]
